date,GDPC1,GDPDEF
1954-04-01,2652.643,14.556
1954-07-01,2682.601,14.575
1954-10-01,2735.091,14.615
1955-01-01,2813.212,14.683
1955-04-01,2858.988,14.744
1955-07-01,2897.598,14.847
1955-10-01,2914.993,14.995
1956-01-01,2903.671,15.144
1956-04-01,2927.665,15.234
1956-07-01,2925.035,15.425
1956-10-01,2973.179,15.487
1957-01-01,2992.219,15.7
1957-04-01,2985.663,15.81
1957-07-01,3014.919,15.904
1957-10-01,2983.727,15.915
1958-01-01,2906.274,16.087
1958-04-01,2925.379,16.134
1958-07-01,2993.068,16.232
1958-10-01,3063.085,16.309
1959-01-01,3121.936,16.347
1959-04-01,3192.38,16.372
1959-07-01,3194.653,16.435
1959-10-01,3203.759,16.499
1960-01-01,3275.757,16.566
1960-04-01,3258.088,16.607
1960-07-01,3274.029,16.665
1960-10-01,3232.009,16.714
1961-01-01,3253.826,16.75
1961-04-01,3309.059,16.789
1961-07-01,3372.581,16.832
1961-10-01,3438.721,16.885
1962-01-01,3500.054,16.972
1962-04-01,3531.683,16.999
1962-07-01,3575.07,17.035
1962-10-01,3586.827,17.07
1963-01-01,3625.981,17.145
1963-04-01,3666.669,17.175
1963-07-01,3747.278,17.198
1963-10-01,3771.845,17.337
1964-01-01,3851.366,17.392
1964-04-01,3893.296,17.432
1964-07-01,3954.121,17.502
1964-10-01,3966.335,17.581
1965-01-01,4062.311,17.67
1965-04-01,4113.629,17.751
1965-07-01,4205.086,17.819
1965-10-01,4301.973,17.942
1966-01-01,4406.693,18.057
1966-04-01,4421.747,18.205
1966-07-01,4459.195,18.381
1966-10-01,4495.777,18.535
1967-01-01,4535.591,18.612
1967-04-01,4538.37,18.707
1967-07-01,4581.309,18.886
1967-10-01,4615.853,19.096
1968-01-01,4709.993,19.308
1968-04-01,4788.688,19.511
1968-07-01,4825.799,19.703
1968-10-01,4844.779,19.981
1969-01-01,4920.605,20.187
1969-04-01,4935.564,20.444
1969-07-01,4968.164,20.731
1969-10-01,4943.935,20.998
1970-01-01,4936.594,21.294
1970-04-01,4943.6,21.591
1970-07-01,4989.159,21.768
